main_id,ra,dec,plx_value
"CD-31  9113c",173.8622823626925,-32.53996783752194,110.1711
"CD-31  9113d",173.8622823626925,-32.53996783752194,110.1711
"CD-31  9113b",173.8622823626925,-32.53996783752194,110.1711
"CD-31  9113",173.8622823626925,-32.53996783752194,110.1711
"2MASSI J0727182+171001",111.826025,17.167002000000004,110.14
"* del Eri",55.81208557481292,-9.763391932194168,110.0254
"HD 115953",199.93977613640124,47.778029316543055,109.9837
"LP  469-206",34.12438080720667,13.586884429877777,109.95
"EGGR 246",10.358445842982917,-22.350636709745554,109.9276
"V* V374 Peg",330.3046841623079,28.306918697961663,109.8548
"2MASS J06523073+4710348",103.12799279804,47.17636849846001,109.7651
"WT 460",212.99958044919583,-41.53942125694472,109.7323
"ULAS J141623.94+134836.3",214.099759,13.810089,109.7
"LAWD 25",115.08661944836254,-17.41365468543972,109.344
"WISE J071322.55-291751.9",108.34283716666667,-29.296593611111113,109.3
"LP  783-2",115.0807159367321,-17.41275359598222,109.2545
"2MASS J03552337+1133437",58.84738996283751,11.56216584287,109.1381
"WISEP J213456.73-713743.6",323.736405,-71.62904999999999,109.1
"HD 103095",178.2448639115646,37.718681698090286,109.0296
"Ross 1015",205.68028782302707,33.29009012190972,108.7903
"* bet Com",197.96830761169252,27.878183974850003,108.725
"2MASS J17502484-0016151",267.60337872393995,-0.2708320659722222,108.5809
